strike,expiry,days_to_expiry,option_type,market_price,implied_vol,moneyness
625.0,2026-06-30,4,put,0.015,0.509862,-0.158302
626.0,2026-06-30,4,put,0.015,0.505141,-0.156703
627.0,2026-06-30,4,put,0.015,0.500425,-0.155107
628.0,2026-06-30,4,put,0.015,0.495713,-0.153514
629.0,2026-06-30,4,put,0.015,0.491006,-0.151922
630.0,2026-06-30,4,put,0.015,0.486304,-0.150334
631.0,2026-06-30,4,put,0.015,0.481606,-0.148748
632.0,2026-06-30,4,put,0.015,0.476912,-0.147164
633.0,2026-06-30,4,put,0.015,0.472222,-0.145583
634.0,2026-06-30,4,put,0.015,0.467537,-0.144005
635.0,2026-06-30,4,put,0.015,0.462855,-0.142429
636.0,2026-06-30,4,put,0.015,0.458178,-0.140855
637.0,2026-06-30,4,put,0.015,0.453505,-0.139284
638.0,2026-06-30,4,put,0.025,0.470499,-0.137715
639.0,2026-06-30,4,put,0.025,0.465642,-0.136149
640.0,2026-06-30,4,put,0.025,0.460789,-0.134586
641.0,2026-06-30,4,put,0.025,0.45594,-0.133024
642.0,2026-06-30,4,put,0.025,0.451095,-0.131465
643.0,2026-06-30,4,put,0.025,0.446253,-0.129909
644.0,2026-06-30,4,put,0.025,0.441415,-0.128355
645.0,2026-06-30,4,put,0.025,0.43658,-0.126803
646.0,2026-06-30,4,put,0.025,0.431749,-0.125254
647.0,2026-06-30,4,put,0.025,0.426921,-0.123707
648.0,2026-06-30,4,put,0.025,0.422096,-0.122163
649.0,2026-06-30,4,put,0.025,0.417274,-0.120621
650.0,2026-06-30,4,put,0.025,0.412456,-0.119081
651.0,2026-06-30,4,put,0.025,0.40764,-0.117544
652.0,2026-06-30,4,put,0.025,0.402828,-0.116009
653.0,2026-06-30,4,put,0.025,0.398018,-0.114477
654.0,2026-06-30,4,put,0.025,0.393211,-0.112946
655.0,2026-06-30,4,put,0.025,0.388407,-0.111418
656.0,2026-06-30,4,put,0.025,0.383605,-0.109893
657.0,2026-06-30,4,put,0.025,0.378806,-0.10837
658.0,2026-06-30,4,put,0.025,0.374009,-0.106849
659.0,2026-06-30,4,put,0.025,0.369215,-0.10533
660.0,2026-06-30,4,put,0.025,0.364423,-0.103814
661.0,2026-06-30,4,put,0.035,0.372264,-0.1023
662.0,2026-06-30,4,put,0.035,0.367336,-0.100788
663.0,2026-06-30,4,put,0.035,0.36241,-0.099279
664.0,2026-06-30,4,put,0.035,0.357485,-0.097772
665.0,2026-06-30,4,put,0.035,0.352562,-0.096267
666.0,2026-06-30,4,put,0.035,0.347641,-0.094764
667.0,2026-06-30,4,put,0.035,0.34272,-0.093264
668.0,2026-06-30,4,put,0.035,0.337802,-0.091766
669.0,2026-06-30,4,put,0.035,0.332884,-0.09027
670.0,2026-06-30,4,put,0.035,0.327967,-0.088776
671.0,2026-06-30,4,put,0.035,0.32305,-0.087285
672.0,2026-06-30,4,put,0.045,0.327096,-0.085795
673.0,2026-06-30,4,put,0.045,0.322068,-0.084308
674.0,2026-06-30,4,put,0.045,0.317039,-0.082824
675.0,2026-06-30,4,put,0.045,0.312011,-0.081341
676.0,2026-06-30,4,put,0.045,0.306982,-0.079861
677.0,2026-06-30,4,put,0.045,0.301953,-0.078382
678.0,2026-06-30,4,put,0.055,0.303973,-0.076906
679.0,2026-06-30,4,put,0.055,0.298846,-0.075433
680.0,2026-06-30,4,put,0.055,0.293718,-0.073961
681.0,2026-06-30,4,put,0.055,0.288588,-0.072491
682.0,2026-06-30,4,put,0.065,0.289313,-0.071024
683.0,2026-06-30,4,put,0.065,0.284095,-0.069559
684.0,2026-06-30,4,put,0.065,0.278875,-0.068096
685.0,2026-06-30,4,put,0.065,0.273652,-0.066635
686.0,2026-06-30,4,put,0.075,0.273382,-0.065176
687.0,2026-06-30,4,put,0.075,0.268076,-0.063719
688.0,2026-06-30,4,put,0.085,0.26715,-0.062265
689.0,2026-06-30,4,put,0.085,0.261767,-0.060812
690.0,2026-06-30,4,put,0.095,0.260298,-0.059362
691.0,2026-06-30,4,put,0.095,0.254841,-0.057914
692.0,2026-06-30,4,put,0.105,0.252911,-0.056468
693.0,2026-06-30,4,put,0.105,0.247382,-0.055024
694.0,2026-06-30,4,put,0.115,0.245052,-0.053582
695.0,2026-06-30,4,put,0.125,0.242428,-0.052142
696.0,2026-06-30,4,put,0.135,0.239542,-0.050704
697.0,2026-06-30,4,put,0.155,0.238909,-0.049268
698.0,2026-06-30,4,put,0.155,0.233084,-0.047835
699.0,2026-06-30,4,put,0.175,0.231767,-0.046403
700.0,2026-06-30,4,put,0.195,0.229964,-0.044973
701.0,2026-06-30,4,put,0.195,0.223936,-0.043546
702.0,2026-06-30,4,put,0.225,0.223413,-0.04212
703.0,2026-06-30,4,put,0.245,0.220614,-0.040697
704.0,2026-06-30,4,put,0.265,0.217507,-0.039275
705.0,2026-06-30,4,put,0.295,0.215551,-0.037856
706.0,2026-06-30,4,put,0.325,0.213149,-0.036438
707.0,2026-06-30,4,put,0.355,0.210351,-0.035023
708.0,2026-06-30,4,put,0.375,0.206041,-0.03361
709.0,2026-06-30,4,put,0.415,0.203719,-0.032198
710.0,2026-06-30,4,put,0.475,0.202946,-0.030789
711.0,2026-06-30,4,put,0.515,0.199653,-0.029381
712.0,2026-06-30,4,put,0.575,0.197735,-0.027976
713.0,2026-06-30,4,put,0.615,0.193663,-0.026572
714.0,2026-06-30,4,put,0.705,0.193069,-0.025171
715.0,2026-06-30,4,put,0.795,0.191714,-0.023771
716.0,2026-06-30,4,put,0.84,0.186764,-0.022374
717.0,2026-06-30,4,put,0.935,0.184636,-0.020978
718.0,2026-06-30,4,put,1.065,0.18391,-0.019584
719.0,2026-06-30,4,put,1.185,0.18185,-0.018192
720.0,2026-06-30,4,put,1.345,0.18115,-0.016803
721.0,2026-06-30,4,put,1.44,0.176531,-0.015415
722.0,2026-06-30,4,put,1.635,0.175996,-0.014029
723.0,2026-06-30,4,put,1.81,0.173723,-0.012644
724.0,2026-06-30,4,put,1.99,0.170922,-0.011262
725.0,2026-06-30,4,put,2.18,0.167796,-0.009882
726.0,2026-06-30,4,put,2.43,0.166199,-0.008504
727.0,2026-06-30,4,put,2.69,0.164085,-0.007127
728.0,2026-06-30,4,put,2.965,0.161624,-0.005753
729.0,2026-06-30,4,put,3.19,0.156553,-0.00438
730.0,2026-06-30,4,put,3.645,0.158369,-0.003009
731.0,2026-06-30,4,put,4.01,0.156081,-0.00164
732.0,2026-06-30,4,put,4.36,0.152271,-0.000273
733.0,2026-06-30,4,put,4.725,0.147873,0.001092
734.0,2026-06-30,4,put,5.22,0.146578,0.002455
735.0,2026-06-30,4,put,5.915,0.150761,0.003817
736.0,2026-06-30,4,put,6.38,0.146107,0.005176
737.0,2026-06-30,4,put,7.01,0.145819,0.006534
738.0,2026-06-30,4,put,7.61,0.143211,0.00789
739.0,2026-06-30,4,put,8.325,0.143566,0.009244
740.0,2026-06-30,4,put,9.08,0.144356,0.010596
741.0,2026-06-30,4,put,9.805,0.142714,0.011947
742.0,2026-06-30,4,put,10.58,0.141912,0.013296
743.0,2026-06-30,4,put,11.35,0.139433,0.014642
744.0,2026-06-30,4,put,12.295,0.144971,0.015987
745.0,2026-06-30,4,put,13.225,0.149261,0.017331
746.0,2026-06-30,4,put,14.18,0.154589,0.018672
747.0,2026-06-30,4,put,15.155,0.160862,0.020011
748.0,2026-06-30,4,put,16.13,0.166927,0.021349
749.0,2026-06-30,4,put,17.13,0.174489,0.022685
750.0,2026-06-30,4,put,18.15,0.183337,0.024019
751.0,2026-06-30,4,put,18.985,0.178624,0.025352
752.0,2026-06-30,4,put,20.15,0.198116,0.026683
753.0,2026-06-30,4,put,20.98,0.192298,0.028012
754.0,2026-06-30,4,put,21.985,0.199652,0.029339
755.0,2026-06-30,4,put,22.985,0.20654,0.030664
756.0,2026-06-30,4,put,23.985,0.213372,0.031988
757.0,2026-06-30,4,put,24.985,0.220151,0.03331
758.0,2026-06-30,4,put,26.025,0.230424,0.03463
759.0,2026-06-30,4,put,27.035,0.238053,0.035948
760.0,2026-06-30,4,put,27.99,0.240661,0.037265
762.0,2026-06-30,4,put,30.025,0.257128,0.039893
763.0,2026-06-30,4,put,30.955,0.256867,0.041204
765.0,2026-06-30,4,put,32.995,0.273748,0.043822
769.0,2026-06-30,4,put,37.02,0.301796,0.049037
770.0,2026-06-30,4,put,37.995,0.305452,0.050337
775.0,2026-06-30,4,put,43.095,0.347315,0.056809
780.0,2026-06-30,4,put,47.995,0.366605,0.06324
790.0,2026-06-30,4,put,58.0,0.425966,0.075979
800.0,2026-06-30,4,put,68.0,0.482712,0.088558
820.0,2026-06-30,4,put,88.035,0.596861,0.113251
675.0,2026-07-01,5,call,57.67,0.234881,-0.081341
680.0,2026-07-01,5,call,52.75,0.27754,-0.073961
685.0,2026-07-01,5,call,48.29,0.351508,-0.066635
690.0,2026-07-01,5,call,42.76,0.230687,-0.059362
695.0,2026-07-01,5,call,37.755,0.203593,-0.052142
701.0,2026-07-01,5,call,31.925,0.209005,-0.043546
702.0,2026-07-01,5,call,30.865,0.193541,-0.04212
703.0,2026-07-01,5,call,29.91,0.195402,-0.040697
704.0,2026-07-01,5,call,28.945,0.194808,-0.039275
705.0,2026-07-01,5,call,27.97,0.192362,-0.037856
706.0,2026-07-01,5,call,27.025,0.193143,-0.036438
707.0,2026-07-01,5,call,26.08,0.193089,-0.035023
709.0,2026-07-01,5,call,24.19,0.191049,-0.032198
710.0,2026-07-01,5,call,23.315,0.194791,-0.030789
